"CZAS";"NO2 Dwutlenek azotu  [µg/m3]";"NOx Tlenki azotu  [µg/m3]";"NO Tlenek azotu  [µg/m3]";"CO Tlenek węgla  [µg/m3]";"CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]";"C6H6 Benzen  [µg/m3]";"PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.07";"53";"122";"45";"485";"673";"0,6";"22";"-"
"02.07";"35";"81";"30";"391";"531";"0,4";"17";"-"
"03.07";"48";"121";"48";"414";"484";"0,5";"21";"-"
"04.07";"65";"166";"67";"525";"583";"0,7";"37";"-"
"05.07";"68";"171";"68";"546";"625";"0,8";"30";"-"
"06.07";"63";"175";"73";"555";"777";"0,8";"25";"-"
"07.07";"68";"197";"84";"660";"801";"1,1";"35";"-"
"08.07";"55";"131";"50";"575";"756";"0,8";"34";"-"
"09.07";"57";"125";"45";"568";"749";"0,8";"27";"-"
"10.07";"76";"206";"85";"735";"864";"1,1";"33";"-"
"11.07";"-";"-";"-";"604";"727";"0,7";"32";"-"
"12.07";"-";"-";"-";"596";"719";"0,8";"30";"-"
"13.07";"35";"98";"41";"372";"633";"0,4";"18";"-"
"14.07";"58";"159";"66";"519";"673";"0,7";"28";"-"
"15.07";"51";"132";"53";"486";"659";"0,7";"29";"-"
"16.07";"44";"109";"43";"480";"637";"0,7";"30";"-"
"17.07";"57";"157";"66";"510";"644";"0,7";"26";"-"
"18.07";"63";"158";"62";"592";"748";"0,9";"33";"-"
"19.07";"74";"186";"73";"688";"917";"1,2";"40";"-"
"20.07";"67";"163";"63";"613";"920";"0,9";"42";"-"
"21.07";"55";"149";"61";"681";"853";"0,9";"38";"-"
"22.07";"49";"117";"45";"559";"854";"0,7";"32";"-"
"23.07";"44";"91";"31";"533";"625";"0,6";"23";"-"
"24.07";"53";"132";"51";"543";"584";"0,6";"27";"-"
"25.07";"44";"128";"55";"576";"726";"0,8";"26";"-"
"26.07";"52";"145";"61";"523";"689";"0,7";"19";"-"
"27.07";"44";"127";"54";"524";"637";"0,7";"21";"-"
"28.07";"46";"141";"62";"560";"632";"0,8";"23";"-"
"29.07";"45";"115";"45";"548";"706";"0,8";"24";"-"
"30.07";"52";"120";"44";"614";"807";"0,8";"24";"-"
"31.07";"68";"152";"55";"681";"853";"0,9";"31";"-"
"wartość średnia";"55";"141";"56";"556";"-";"0,8";"28";"19"
"minimum";"35";"81";"30";"372";"484";"0,4";"17";"10"
"maksimum";"76";"206";"85";"735";"1090";"1,2";"42";"28"
