Zanieczyszczenie;Warszawa-Marszałkowska - pył zawieszony PM10
Jednostka;ug/m3
2016-10-01;36.0
2016-10-02;34.7
2016-10-03;32.1
2016-10-04;25.6
2016-10-05;10.6
2016-10-06;23.2
2016-10-07;28.1
2016-10-08;20.0
2016-10-09;23.9
2016-10-10;22.7
2016-10-11;14.2
2016-10-12;17.1
2016-10-13;27.5
2016-10-14;36.0
2016-10-15;32.4
2016-10-16;28.2
2016-10-17;30.9
2016-10-18;30.5
2016-10-19;
2016-10-20;
2016-10-21;32.4
2016-10-22;29.1
2016-10-23;39.2
2016-10-24;38.7
2016-10-25;35.5
2016-10-26;28.7
2016-10-27;39.4
2016-10-28;39.9
2016-10-29;14.2
2016-10-30;12.8
2016-10-31;14.5
2016-11-01;19.5
2016-11-02;15.6
2016-11-03;15.0
2016-11-04;30.2
2016-11-05;51.2
2016-11-06;34.5
2016-11-07;34.5
2016-11-08;46.8
2016-11-09;42.2
2016-11-10;48.3
2016-11-11;39.7
2016-11-12;51.5
2016-11-13;42.0
2016-11-14;38.2
2016-11-15;49.9
2016-11-16;31.9
2016-11-17;31.9
2016-11-18;42.3
2016-11-19;45.4
2016-11-20;26.9
2016-11-21;37.9
2016-11-22;37.6
2016-11-23;54.8
2016-11-24;71.6
2016-11-25;57.2
2016-11-26;49.1
2016-11-27;27.1
2016-11-28;33.0
2016-11-29;34.2
2016-11-30;43.6
2016-12-01;40.0
2016-12-02;29.6
2016-12-03;17.6
2016-12-04;31.9
2016-12-05;58.1
2016-12-06;44.0
2016-12-07;52.1
2016-12-08;31.4
2016-12-09;35.0
2016-12-10;32.2
2016-12-11;26.9
2016-12-12;46.9
2016-12-13;73.1
2016-12-14;43.9
2016-12-15;36.5
2016-12-16;68.5
2016-12-17;74.6
2016-12-18;52.6
2016-12-19;51.5
2016-12-20;47.9
2016-12-21;57.6
2016-12-22;78.1
2016-12-23;55.7
2016-12-24;38.1
2016-12-25;23.7
2016-12-26;19.4
2016-12-27;12.6
2016-12-28;18.8
2016-12-29;43.2
2016-12-30;59.5
2016-12-31;56.1
2017-01-01;46.6
2017-01-02;45.1
2017-01-03;30.1
2017-01-04;14.3
2017-01-05;46.1
2017-01-06;125.8
2017-01-07;68.3
2017-01-08;197.7
2017-01-09;166.7
2017-01-10;106.0
2017-01-11;147.9
2017-01-12;50.6
2017-01-13;62.8
2017-01-14;32.6
2017-01-15;46.4
2017-01-16;56.0
2017-01-17;106.5
2017-01-18;67.4
2017-01-19;52.0
2017-01-20;55.6
2017-01-21;34.9
2017-01-22;36.4
2017-01-23;73.1
2017-01-24;94.5
2017-01-25;58.9
2017-01-26;69.5
2017-01-27;136.5
2017-01-28;157.6
2017-01-29;75.7
2017-01-30;91.6
2017-01-31;106.1
2017-02-01;95.4
2017-02-02;108.9
2017-02-03;97.4
2017-02-04;47.8
2017-02-05;42.6
2017-02-06;49.1
2017-02-07;34.9
2017-02-08;29.7
2017-02-09;41.3
2017-02-10;176.1
2017-02-11;55.9
2017-02-12;54.1
2017-02-13;71.5
2017-02-14;99.2
2017-02-15;133.2
